序号,学校代码,学校名称,办别,所属区,区代码
1,011001,格致初级中学,PUBLIC,黄浦区,HP
2,011002,大同初级中学,PUBLIC,黄浦区,HP
3,011003,向明初级中学,PUBLIC,黄浦区,HP
4,011004,大境初级中学,PUBLIC,黄浦区,HP
5,011005,光明初级中学,PUBLIC,黄浦区,HP
6,011006,敬业初级中学,PUBLIC,黄浦区,HP
7,011007,卢湾中学,PUBLIC,黄浦区,HP
8,011008,市八初级中学,PUBLIC,黄浦区,HP
9,011009,尚文中学,PUBLIC,黄浦区,HP
10,011012,交附黄浦实验,PUBLIC,黄浦区,HP
11,011014,清华中学,PUBLIC,黄浦区,HP
12,011015,民办明珠中学,PRIVATE,黄浦区,HP
13,011016,民办立达中学,PRIVATE,黄浦区,HP
14,011017,民办震旦外国语,PRIVATE,黄浦区,HP
15,013003,市十中学,PUBLIC,黄浦区,HP
16,013004,储能中学,PUBLIC,黄浦区,HP
17,014001,金陵中学,PUBLIC,黄浦区,HP
18,014003,市南中学,PUBLIC,黄浦区,HP
19,014004,上音比乐中学,PUBLIC,黄浦区,HP
20,015003,中山学校,PUBLIC,黄浦区,HP
21,015004,民办永昌学校,PRIVATE,黄浦区,HP
22,015005,康德双语实验学校,PUBLIC,黄浦区,HP
23,017777,大同初级中学（原黄浦学校）,PUBLIC,黄浦区,HP
24,041302,上海市位育初级中学,PUBLIC,徐汇区,XH
25,041305,上海市第二初级中学,PUBLIC,徐汇区,XH
26,041306,上海市南洋模范初级中学,PUBLIC,徐汇区,XH
27,041316,上海市南洋初级中学,PUBLIC,徐汇区,XH
28,041318,上海市田林中学,PUBLIC,徐汇区,XH
29,041319,上海市田林第二中学,PUBLIC,徐汇区,XH
30,041320,上海市田林第三中学,PUBLIC,徐汇区,XH
31,041326,上海市龙苑中学,PUBLIC,徐汇区,XH
32,041327,上海市徐汇区教育学院附属实验中学,PUBLIC,徐汇区,XH
33,041328,上海市长桥中学,PUBLIC,徐汇区,XH
34,041329,上海市园南中学,PUBLIC,徐汇区,XH
35,041331,上海市汾阳中学,PUBLIC,徐汇区,XH
36,041334,上海市梅园中学,PUBLIC,徐汇区,XH
37,041336,上海市紫阳中学,PUBLIC,徐汇区,XH
38,041347,上海市康健外国语实验中学,PUBLIC,徐汇区,XH
39,041363,上海市世外中学,PUBLIC,徐汇区,XH
40,041385,上海市民办华育中学,PRIVATE,徐汇区,XH
41,044103,上海市中国中学,PUBLIC,徐汇区,XH
42,044107,上海市第五十四中学,PUBLIC,徐汇区,XH
43,044109,上海市徐汇中学,PUBLIC,徐汇区,XH
44,044110,徐汇南校,PUBLIC,徐汇区,XH
45,044111,上海市第四中学,PUBLIC,徐汇区,XH
46,044114,上海市零陵中学,PUBLIC,徐汇区,XH
47,044125,上海师大附中附属龙华中学,PUBLIC,徐汇区,XH
48,044133,华东理工大学附属中学,PUBLIC,徐汇区,XH
49,044162,上海市西南位育中学,PUBLIC,徐汇区,XH
50,044164,上海市西南模范中学,PUBLIC,徐汇区,XH
51,044181,上海民办位育中学,PRIVATE,徐汇区,XH
52,044182,上海民办南模中学,PRIVATE,徐汇区,XH
53,045304,上海市位育实验学校,PUBLIC,徐汇区,XH
54,045444,上海师范大学第三附属实验学校,PUBLIC,徐汇区,XH
55,061002,上海市育才初级中学,PUBLIC,静安区,JA
56,061003,上海市静安区协和双语培明学校,PUBLIC,静安区,JA
57,061005,上海市时代中学,PUBLIC,静安区,JA
58,061008,上海市五四中学,PUBLIC,静安区,JA
59,061009,民办上海上外静安外国语中学,PRIVATE,静安区,JA
60,061050,上海市静安区市北初级中学北校,PUBLIC,静安区,JA
61,061051,上海市新中初级中学,PUBLIC,静安区,JA
62,061053,上海市静安区实验中学,PUBLIC,静安区,JA
63,061055,上海市朝阳中学,PUBLIC,静安区,JA
64,061059,上海市市北初级中学,PUBLIC,静安区,JA
65,061060,上海市风华初级中学,PUBLIC,静安区,JA
66,061061,上海市彭浦初级中学,PUBLIC,静安区,JA
67,061062,上海外国语大学苏河湾实验中学,PUBLIC,静安区,JA
68,061066,上海市青云中学,PUBLIC,静安区,JA
69,061071,上海市岭南中学,PUBLIC,静安区,JA
70,061072,上海市保德中学,PUBLIC,静安区,JA
71,061073,上海市彭浦第三中学,PUBLIC,静安区,JA
72,061074,上海市彭浦第四中学,PUBLIC,静安区,JA
73,062011,上海市回民中学,PUBLIC,静安区,JA
74,063001,上海市民立中学,PUBLIC,静安区,JA
75,063002,上海市第一中学,PUBLIC,静安区,JA
76,063008,上海市久隆模范中学,PUBLIC,静安区,JA
77,063077,上海市闸北第八中学,PUBLIC,静安区,JA
78,064001,上海市华东模范中学,PUBLIC,静安区,JA
79,064003,同济大学附属七一中学,PUBLIC,静安区,JA
80,064007,上海市向东中学,PUBLIC,静安区,JA
81,064020,上海田家炳中学,PUBLIC,静安区,JA
82,064021,上海市民办扬波中学,PRIVATE,静安区,JA
83,064023,上海市民办新和中学,PRIVATE,静安区,JA
84,064024,上海市民办风范中学,PRIVATE,静安区,JA
85,065001,上海市爱国学校,PUBLIC,静安区,JA
86,065002,上海市静安区教育学院附属学校,PUBLIC,静安区,JA
87,065056,上海市华灵学校,PUBLIC,静安区,JA
88,065057,上海市三泉学校,PUBLIC,静安区,JA
89,065058,上海戏剧学院附属静安学校,PUBLIC,静安区,JA
90,065078,上海市静安区大宁国际学校,PUBLIC,静安区,JA
91,71045,上海市洵阳中学,PUBLIC,普陀区,PT
92,71046,上海市北海中学,PUBLIC,普陀区,PT
93,71047,上海市延河中学,PUBLIC,普陀区,PT
94,71048,上海市曹杨第二中学附属实验中学,PUBLIC,普陀区,PT
95,71049,华东师范大学第四附属中学,PUBLIC,普陀区,PT
96,71050,上海市怒江中学,PUBLIC,普陀区,PT
97,71051,上海师范大学附属第二实验学校,PUBLIC,普陀区,PT
98,71053,上海市真北中学,PUBLIC,普陀区,PT
99,71054,上海市普陀区教育学院附属中学,PUBLIC,普陀区,PT
100,71056,上海市梅陇中学,PUBLIC,普陀区,PT
101,71060,上海兰田中学,PUBLIC,普陀区,PT
102,73004,上海市曹杨中学,PUBLIC,普陀区,PT
103,74005,同济大学第二附属中学,PUBLIC,普陀区,PT
104,74009,上海市新杨中学,PUBLIC,普陀区,PT
105,74010,上海市长征中学,PUBLIC,普陀区,PT
106,74011,上海市桃浦中学,PUBLIC,普陀区,PT
107,74012,上海市晋元高级中学附属学校南校,PUBLIC,普陀区,PT
108,74016,上海音乐学院附属安师实验中学,PUBLIC,普陀区,PT
109,74018,上海华东师范大学附属进华中学,PUBLIC,普陀区,PT
110,74081,上海安生学校,PUBLIC,普陀区,PT
111,75013,上海培佳双语学校,PUBLIC,普陀区,PT
112,75044,上海市光新学校,PUBLIC,普陀区,PT
113,75061,上海市铜川学校,PUBLIC,普陀区,PT
114,75062,上海市沙田学校,PUBLIC,普陀区,PT
115,75063,华东师范大学附属外国语实验学校,PUBLIC,普陀区,PT
116,75064,上海市子长学校,PUBLIC,普陀区,PT
117,75065,上海市洛川学校,PUBLIC,普陀区,PT
118,75066,上海市宜川中学附属学校,PUBLIC,普陀区,PT
119,75067,上海市曹杨中学附属学校,PUBLIC,普陀区,PT
120,75068,上海市普陀区教育学院附属学校,PUBLIC,普陀区,PT
121,75069,上海市晋元高级中学附属学校,PUBLIC,普陀区,PT
122,75070,上海市曹杨第二中学附属学校,PUBLIC,普陀区,PT
123,75071,上海市民办新黄浦实验学校,PRIVATE,普陀区,PT
124,75072,上海市江宁学校,PUBLIC,普陀区,PT
125,75073,上海市中远实验学校,PUBLIC,普陀区,PT
126,75077,上海市金鼎学校,PUBLIC,普陀区,PT
127,75078,上海外国语大学尚阳外国语学校,PUBLIC,普陀区,PT
128,75079,上海市文达学校,PUBLIC,普陀区,PT
129,75080,上海理工大学附属普陀实验学校,PUBLIC,普陀区,PT
130,75113,上海市万里城实验学校,PUBLIC,普陀区,PT
